"Title","Author","Price","Sales Rank","Genre/Theme","Published Month","Published Year","Mean_Polarity","Mean_Subjectivity"
"But What If We're Wrong?","Chuck Klosterman",17,69524,"Biography & Autobiography","Apr",2017,0.144846271153089,0.482509223730815
"Nonstop Metropolis","Rebecca Solnit",29.95,69653,"Travel","Oct",2016,0.260213061349425,0.443720866675412
"Look","Solmaz Sharif",16,69735,"Political Science","Jul",2016,0.12352473549842,0.467336361007414
"More Happy Than Not","Adam Silvera",10.99,69782,"Young Adult Fiction","Apr",2016,0.239618026976518,0.535656844029486
"The Border of Paradise","Esme Weijun Wang",17,69784,"Fiction","Apr",2016,0.105931537598204,0.472996733205067
"The Secret Subway","Shana Corey",17.99,69810,"Juvenile Nonfiction","Mar",2016,0.249431818181818,0.405744949494949
"The Brownstone","Paula Scher",17.95,69865,"Juvenile Fiction","Jan",2016,0.186452168367347,0.571428494124923
"Fancy Nancy","Jane O'Connor",5.99,69997,"Juvenile Fiction","May",2015,0,0
"Muggie Maggie","Beverly Cleary",6.99,70008,"Juvenile Fiction","Apr",2015,0.133333333333333,0.343055555555556
"Mr. Putter & Tabby Drop the Ball","Cynthia Rylant",5.99,70064,"Juvenile Fiction","Nov",2014,0.222222222222222,0.288888888888889
"Offshore","Penelope Fitzgerald",15.99,70076,"Fiction","Oct",2014,0,0
"The Grimm Conclusion","Adam Gidwitz",8.99,70103,"Juvenile Fiction","Sep",2014,0.179604700854701,0.540042735042735
"It's a Busload of Pigeon Books! (NEW ISBN)","Mo Willems",24.99,70318,"Juvenile Fiction","Apr",2013,0,0
"The Trouble with Chickens","Doreen Cronin",7.99,70446,"Juvenile Fiction","Jan",2012,0.335964556277056,0.654430465367965
"The Secret Garden","Frances Hodgson Burnett",18,70470,"Fiction","Oct",2011,0.239015151515152,0.552272727272727
"Subway Story","Julia Sarcone-Roach",16.99,70477,"Juvenile Fiction","Oct",2011,0.156731601731602,0.663311688311688
"Selected Stories","William Trevor",21,70478,"Fiction","Sep",2011,0,0
"How to Live Safely in a Science Fictional Universe","Charles Yu",15.95,70500,"Fiction","Jun",2011,0.202624237561594,0.499542466835094
"Collected Poems","Edna St Vincent Millay",22.99,70529,"Poetry","Mar",2011,0.0443001443001443,0.131926406926407
"Feathers","Jacqueline Woodson",8.99,70639,"Juvenile Fiction","Jan",2010,0,0
"Yotsuba&!, Vol. 3","Kiyohiko Azuma",13,70671,"Juvenile Fiction","Sep",2009,0,0
"Moleskine Classic Notebook, Pocket, Squared, Red, Hard Cover (3.5 x 5.5)","Moleskine",14.95,70673,"Stationery","Aug",2009,0,0
"The Old Man and Me","Elaine Dundy",15.95,70686,"Fiction","Jun",2009,0.194429824561404,0.542031757634828
"Junie B. Jones #27","Barbara Park",4.99,70724,"Juvenile Fiction","Jan",2009,0.113368055555556,0.260185185185185
"One Day When I Was Lost","James Baldwin",15,70831,"Biography & Autobiography","Aug",2007,0.124621212121212,0.443181818181818
"Junie B., First Grader","Barbara Park",4.99,70978,"Juvenile Fiction","Dec",2004,0.113368055555556,0.260185185185185
"Sex, Drugs, & Cocoa Puffs","Chuck Klosterman",17,70989,"Literary Collections","Jul",2004,0.15834478021978,0.344024725274725
"How Are You Peeling?","Saxton Freymann",6.99,70996,"Juvenile Nonfiction","Jun",2004,0,0
"2095 #5","Jon Scieszka",5.99,71001,"Juvenile Fiction","Apr",2004,0,0
"Summer Reading Is Killing Me! #7","Jon Scieszka",5.99,71003,"Juvenile Fiction","Apr",2004,0,0
"The Secret Footprints","Julia Alvarez",7.99,71074,"Juvenile Fiction","Sep",2002,0,0
"Seven Little Postmen","Margaret Wise Brown",4.99,71085,"Juvenile Fiction","Jun",2002,0,0
"Fargo Rock City","Chuck Klosterman",17,71094,"Biography & Autobiography","May",2002,0.319761904761905,0.800952380952381
"Anatomy of Melancholy","Robert Burton",29.95,71139,"Medical","Apr",2001,0,0
"Surrender, Dorothy","Meg Wolitzer",15,71160,"Fiction","Jul",2000,0.0889466891133558,0.542431818181818
"Merriam-Webster's French-English Dictionary","Merriam-Webster Inc",6.99,71170,"Foreign Language Study","Jan",2000,0,0
"Caucasia","Danzy Senna",16,71196,"Fiction","Feb",1999,0.225723258223258,0.409229474229474
"The Other Way to Listen","Byrd Baylor",7.99,71228,"Juvenile Nonfiction","Dec",1997,0,0
"Collected Poems 1912-1944","Hilda Doolittle",28.95,71401,"Poetry","Feb",1986,0,0
"Cauliflower Power","Lindsay Grimes Freedman",19.95,71574,"Cooking","Jan",2020,0.257859848484848,0.537079124579125
"The Best at It","Maulik Pancholy",16.99,71578,"Juvenile Fiction","Oct",2019,0.329290404040404,0.573072390572391
"Now and at the Hour of Our Death","Susana Moreira Marques",13.95,71597,"Health & Fitness","Oct",2015,0.137473063973064,0.264792929292929
"Black Heroes of the Wild West","James Otis Smith",16.95,71663,"Juvenile Nonfiction","Sep",2020,0.102516551383399,0.258949193017128
"City of Sparrows","Eva Nour",26.99,71679,"Fiction","Sep",2020,0.13640873015873,0.527261904761905
"Edward Weston","Edward Weston",35,71686,"Photography","Sep",2020,0.0546717171717172,0.181313131313131
"Let's Fix Lunch!","Stasher",19.95,71694,"Cooking","Sep",2020,0,0
"Vegan Junk Food","Zacchary Bird",24.95,71717,"Cooking","Sep",2020,0,0
"Death of a Telenovela Star (A Novella)","Teresa Dovalpage",7.99,71744,"Fiction","Aug",2020,0.166508680555556,0.473939814814815
"The Expectations","Alexander Tilney",16.99,71751,"Fiction","Aug",2020,0.115722786153821,0.385072834253869
"Twenty After Midnight","Daniel Galera",16,71765,"Fiction","Aug",2020,0.0226515151515152,0.261393939393939
"Eighty Days to Elsewhere","kc dyer",16,71766,"Fiction","Aug",2020,0.294949494949495,0.478598484848485
"13 Stories About Harris","Amy Schwartz",18.99,71772,"Juvenile Fiction","Aug",2020,0.223400072150072,0.490176767676768
"Avoid the Day","Jay Kirk",17.99,71805,"Family & Relationships","Jul",2020,-0.0057969696969697,0.443054545454545
"Extraordinary Parenting","Eloise Rickman",15.95,71845,"Education","Jul",2020,0.19375,0.347321428571429
"Max Explains Everything","Stacy McAnulty",16.99,71849,"Juvenile Fiction","Jul",2020,0.228484848484848,0.396893939393939
"Cinderbiter","Martin Shaw",16,71854,"Poetry","Jul",2020,0.16969696969697,0.246212121212121
"The Golden Thread","Ravi Somaiya",28,71855,"Political Science","Jul",2020,0.180986546133605,0.388665860283507
"The House on Henry Street","Ellen M Snyder-Grenier",27.95,71889,"Social Science","Jun",2020,0,0
